City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Chinhoyi,ZW,2021-04-24 17:23:03,-17.3667,30.2,68.04,65,88,2.46,light rain
222,Uthal,PK,2021-04-24 17:23:03,25.8072,66.6219,84.52,54,0,5.86,clear sky
223,Arraias,BR,2021-04-24 17:23:03,-12.9288,-46.9437,86.41,46,51,2.89,broken clouds
224,Istra,RU,2021-04-24 17:18:45,55.9178,36.8642,39.2,87,90,13.42,light rain
225,Belen,TR,2021-04-24 17:23:04,36.4891,36.2233,75.2,46,0,4.61,clear sky
226,Yellandu,IN,2021-04-24 17:23:04,17.6,80.3333,87.17,51,7,7.14,clear sky
227,Kununurra,AU,2021-04-24 17:23:04,-15.7667,128.7333,68.0,49,10,4.61,clear sky
228,Prince Rupert,CA,2021-04-24 17:23:04,54.3161,-130.3201,48.2,76,20,4.61,few clouds
229,Lemnia,RO,2021-04-24 17:23:05,46.05,26.2667,48.99,43,37,2.53,scattered clouds
230,Dingle,PH,2021-04-24 17:23:05,10.9995,122.6711,76.64,83,82,2.13,light rain
231,Fortuna,US,2021-04-24 17:20:41,40.5982,-124.1573,53.01,93,75,8.05,broken clouds
232,Ozernovskiy,RU,2021-04-24 17:23:05,51.5,156.5167,34.27,95,100,3.67,overcast clouds
233,Coihaique,CL,2021-04-24 17:23:06,-45.5752,-72.0662,53.6,76,90,3.44,overcast clouds
234,Pyinmana,MM,2021-04-24 17:23:06,19.7333,96.2167,85.71,55,63,7.74,broken clouds
235,Caucaia,BR,2021-04-24 17:22:17,-3.7361,-38.6531,84.2,79,75,16.11,broken clouds
236,Gambissara,SN,2021-04-24 17:23:06,13.2382,-14.3108,104.45,8,14,6.17,few clouds
237,Chuy,UY,2021-04-24 17:21:04,-33.6971,-53.4616,71.73,66,100,8.99,overcast clouds
238,Saint Anthony,US,2021-04-24 17:23:07,45.0205,-93.218,41.0,70,90,12.66,overcast clouds
239,Maldonado,UY,2021-04-24 17:23:07,-34.6667,-54.9167,68.0,88,90,10.36,moderate rain
240,Mangrol,IN,2021-04-24 17:23:07,21.1167,70.1167,81.05,81,100,13.0,overcast clouds
241,Aprelevka,RU,2021-04-24 17:23:08,55.5519,37.0801,39.0,93,75,11.18,light rain
242,Samaipata,BO,2021-04-24 17:23:08,-18.15,-63.8667,60.3,91,97,2.75,overcast clouds
243,Kibaha,TZ,2021-04-24 17:23:08,-6.7667,38.9167,78.8,83,75,13.8,broken clouds
244,Redlands,US,2021-04-24 17:23:09,34.0556,-117.1825,63.0,63,90,5.91,haze
245,Tuy Hoa,VN,2021-04-24 17:23:09,13.0833,109.3,78.57,87,17,3.22,few clouds
246,Vallenar,CL,2021-04-24 17:23:09,-28.5708,-70.7581,74.68,35,0,5.5,clear sky
247,Ossora,RU,2021-04-24 17:21:02,59.2353,163.0719,29.79,98,100,3.0,snow
248,Smithers,CA,2021-04-24 17:20:12,54.7804,-127.1743,46.4,36,20,5.75,few clouds
249,Teahupoo,PF,2021-04-24 17:23:10,-17.8333,-149.2667,77.0,78,75,2.3,light rain
250,Mayumba,GA,2021-04-24 17:23:10,-3.432,10.6554,79.25,83,85,6.96,light rain
251,Seoul,KR,2021-04-24 17:18:17,37.5683,126.9778,53.6,93,0,1.14,clear sky
252,Acuexcomac,MX,2021-04-24 17:23:10,19.0333,-98.3833,75.2,23,1,2.51,clear sky
