City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
489,489,Port Keats,AU,2021-04-24 17:24:09,-14.25,129.55,70.83,30,62,8.55,broken clouds
490,490,Kieta,PG,2021-04-24 17:24:09,-6.2167,155.6333,78.64,83,72,2.53,broken clouds
496,496,Providencia,MX,2021-04-24 17:24:11,28.7167,-111.5833,82.0,38,3,1.01,clear sky
497,497,Mahebourg,MU,2021-04-24 17:24:11,-20.4081,57.7,78.8,89,75,14.97,light rain
501,501,Tevaitoa,PF,2021-04-24 17:24:12,-16.7833,-151.5,79.72,75,100,9.37,light rain
504,504,Namatanai,PG,2021-04-24 17:23:10,-3.6667,152.4333,78.35,80,49,5.41,scattered clouds
507,507,Srandakan,ID,2021-04-24 17:24:14,-7.9386,110.2506,76.14,82,14,3.6,few clouds
509,509,Praia,CV,2021-04-24 17:24:14,14.9215,-23.5087,77.0,53,40,21.85,scattered clouds
515,515,Taitung,TW,2021-04-24 17:24:16,22.7583,121.1444,73.18,83,99,4.05,overcast clouds
522,522,Matara,LK,2021-04-24 17:24:18,5.9485,80.5353,78.64,87,80,3.58,broken clouds
527,527,Ojinaga,MX,2021-04-24 17:24:19,29.5667,-104.4167,77.0,12,1,3.13,clear sky
531,531,Martapura,ID,2021-04-24 17:24:20,-3.4167,114.85,77.0,88,90,3.44,overcast clouds
536,536,Palauig,PH,2021-04-24 17:24:21,15.435,119.9045,77.16,75,1,6.67,clear sky
544,544,Uvira,CD,2021-04-24 17:24:23,-3.4067,29.1458,75.25,82,57,4.79,light rain
547,547,Khash,IR,2021-04-24 17:24:24,28.2211,61.2158,75.11,7,12,3.69,few clouds
548,548,Bubaque,GW,2021-04-24 17:24:24,11.2833,-15.8333,78.64,68,3,21.16,clear sky
553,553,Navirai,BR,2021-04-24 17:24:25,-23.065,-54.1906,78.6,38,99,4.32,overcast clouds
556,556,Sabang,ID,2021-04-24 17:24:26,5.8933,95.3214,83.28,71,100,15.88,overcast clouds
557,557,Soyo,AO,2021-04-24 17:23:16,-6.1349,12.3689,80.46,80,100,4.81,light rain
558,558,Auki,SB,2021-04-24 17:24:26,-8.7676,160.7034,77.4,85,89,2.89,overcast clouds
